ENGLISH,IDGLOSS,SN,SENSE,RECNUMB,TOPIC
"and","and.1",7.8600000000000000e+02," ",4.4800000000000000e+02,0
"beckoning","beckon.1a",7.8700000000000000e+02," ",4.4900000000000000e+02,0
"beckon","beckon.1a",7.8700000000000000e+02," ",4.4900000000000000e+02,0
"petticoat","petticoat.1a",7.9200000000000000e+02," ",4.5000000000000000e+02,9
"here","here.1a",7.9400000000000000e+02," ",4.5100000000000000e+02,37
"this","here.1a",7.9400000000000000e+02," ",4.5100000000000000e+02,37
"down","go.down",7.9600000000000000e+02,"1",4.5200000000000000e+02,30
"downwards","go.down",7.9600000000000000e+02,"1",4.5200000000000000e+02,30
"downstairs","go.down",7.9600000000000000e+02,"1",4.5200000000000000e+02,30
"hell","hell.1a",7.9610000000000002e+02,"2",4.5300000000000000e+02,42
"these","these.1a",7.9700000000000000e+02," ",4.5400000000000000e+02,37
"crossing","across",8.0100000000000000e+02," ",4.5500000000000000e+02,30
"pedestrian crossing","across",8.0100000000000000e+02," ",4.5500000000000000e+02,30
"go across","across",8.0100000000000000e+02," ",4.5500000000000000e+02,30
"cross","across",8.0100000000000000e+02," ",4.5500000000000000e+02,30
"return journey","return.journey",8.0200000000000000e+02," ",4.5600000000000000e+02,50
"wanderings","wander",8.0400000000000000e+02," ",4.5700000000000000e+02,30
"wander","wander",8.0400000000000000e+02," ",4.5700000000000000e+02,30
"hip","hip",8.0500000000000000e+02," ",4.5800000000000000e+02,6
"penis","penis.3",8.0600000000000000e+02," ",4.5900000000000000e+02,45
"erection","erection.2",8.0700000000000000e+02," ",4.6000000000000000e+02,45
"erect","erection.2",8.0700000000000000e+02," ",4.6000000000000000e+02,45
"tail","tail.2",8.0800000000000000e+02," ",4.6100000000000000e+02,6
"wag","tail.2",8.0800000000000000e+02," ",4.6100000000000000e+02,6
"muscle","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
"strength","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
"energy","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
"might","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
"power","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
"muscular","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
"muscle-bound","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
"strong","muscle.1a",8.1000000000000000e+02,"1",4.6200000000000000e+02,6
